chromosome	start	end	gene	log2	depth	spread
chr1	43339233	43339323	MPL	-0.911451	3035.42	0.077545
chr1	43339323	43339413	MPL	0.586144	8561.84	0.041557
chr1	43339413	43339503	MPL	0.387881	7494.82	0.0331776
chr1	43339503	43339594	MPL	0.0213574	5830.52	0.0328998
chr1	43339907	43340011	MPL	0.0400785	5905.38	0.0468279
chr1	43340011	43340115	MPL	0.0825818	6072.59	0.0447497
chr1	43340115	43340219	MPL	0.141638	6301.27	0.0413938
chr1	43340300	43340415	MPL	-0.0822116	5388.08	0.0411311
chr1	43340415	43340530	MPL	-0.18307	5066.33	0.0422282
chr1	43340530	43340645	MPL	-2.04414	1383.44	0.0876966
chr1	43346400	43346499	MPL	0.0303773	5895.13	0.0386082
chr1	43346499	43346599	MPL	0.494208	8066.38	0.0398625
chr1	43346599	43346699	MPL	0.0563367	5942.87	0.0375508
chr1	43346699	43346798	MPL	-1.25265	2402.78	0.0770712
chr1	43346798	43346898	MPL	-0.314777	4606.7	0.0348099
chr1	43346898	43346998	MPL	-0.143428	5165.33	0.0491351
chr1	43348806	43348902	MPL	-0.317414	4585.81	0.0414142
chr1	43348902	43348998	MPL	-0.341658	4523.74	0.0530649
chr1	43348998	43349095	MPL	-1.2071	2480.48	0.094021
chr1	43349095	43349191	MPL	-1.21705	2460.59	0.120395
chr1	43349191	43349288	MPL	-0.0407279	5542.25	0.0878227
chr1	43349288	43349384	MPL	-0.160805	5099.11	0.0901747
chr1	43349384	43349481	MPL	-1.05094	2747.44	0.0582056
chr1	43352047	43352143	MPL	-2.74675	855.414	0.0958362
chr1	43352143	43352239	MPL	-0.849945	3157	0.103369
chr1	43352239	43352335	MPL	-0.295965	4613.21	0.10784
chr1	43352335	43352432	MPL	-0.935196	2976.97	0.0987083
chr1	43352432	43352528	MPL	-0.82639	3178.53	0.126463
chr1	43352528	43352624	MPL	-0.248239	4757.82	0.0952507
chr1	43352624	43352720	MPL	-0.171871	5083.5	0.0646238
chr1	43352720	43352817	MPL	0.035769	5876.11	0.0469389
chr1	114708424	114708531	NRAS	-0.376253	4379.25	0.0565088
chr1	114708531	114708639	NRAS	0.860508	10345.2	0.0365828
chr1	114708639	114708747	NRAS	-0.0206965	5612.96	0.0508468
chr1	114708747	114708855	NRAS	-2.06739	1355.44	0.120394
chr1	114709462	114709563	NRAS	-0.323249	4552.69	0.0599392
chr1	114709563	114709665	NRAS	1.059	11910.3	0.0347785
chr1	114709665	114709767	NRAS	0.292489	6990.8	0.0458708
chr1	114709767	114709869	NRAS	-2.08952	1327.67	0.121282
chr1	114713588	114713691	NRAS	-0.0441056	5546.81	0.0387763
chr1	114713691	114713795	NRAS	0.375934	7430.27	0.062564
chr1	114713795	114713899	NRAS	0.184235	6454.94	0.0991338
chr1	114713899	114714003	NRAS	-1.27076	2335.99	0.133307
chr1	114714003	114714107	NRAS	-1.35617	2211.21	0.168172
chr1	114715930	114716022	NRAS	-2.29988	1150.54	0.1204
chr1	114716022	114716114	NRAS	0.415716	7593.59	0.0441409
chr1	114716114	114716206	NRAS	0.74274	9517.46	0.0494162
chr1	114716206	114716299	NRAS	-2.54282	976.223	0.105527
chr2	25234019	25234119	DNMT3A	-2.38454	1091.81	0.113369
chr2	25234119	25234220	DNMT3A	0.245203	6774.53	0.0550925
chr2	25234220	25234321	DNMT3A	0.8156	10085.1	0.0315903
chr2	25234321	25234421	DNMT3A	0.71298	9359.92	0.0376899
chr2	25234421	25234522	DNMT3A	-0.791832	3309.64	0.0592887
chr2	25234522	25234623	DNMT3A	-2.63222	921.358	0.0940887
chr2	25235509	25235619	DNMT3A	-2.32031	1137.25	0.113785
chr2	25235619	25235730	DNMT3A	-0.103684	5303.99	0.0558215
chr2	25235730	25235840	DNMT3A	1.01449	11567.1	0.025718
chr2	25235840	25235951	DNMT3A	-1.03386	2801.88	0.0407627
chr2	25236801	25236905	DNMT3A	-2.43894	1060.7	0.0680279
chr2	25236905	25237010	DNMT3A	0.0686463	5990.32	0.0466184
chr2	25237010	25237115	DNMT3A	0.115579	6195.63	0.0460872
chr2	25237115	25237220	DNMT3A	-2.31419	1160.49	0.0865552
chr2	25238999	25239106	DNMT3A	-2.31788	1145.47	0.0905234
chr2	25239106	25239213	DNMT3A	0.0382313	5850.43	0.0400813
chr2	25239213	25239320	DNMT3A	-0.00719847	5669.34	0.0343114
chr2	25239320	25239427	DNMT3A	-2.34432	1121.26	0.0770888
chr2	25240162	25240267	DNMT3A	-0.238676	4813.41	0.0490515
chr2	25240267	25240372	DNMT3A	0.800429	9961.35	0.0593922
chr2	25240372	25240477	DNMT3A	0.425702	7699.96	0.0644531
chr2	25240477	25240582	DNMT3A	-1.51159	2006.19	0.0957674
chr2	25240582	25240687	DNMT3A	-0.7827	3338.15	0.063283
chr2	25240687	25240792	DNMT3A	-0.0144051	5640.19	0.0362119
chr2	25241435	25241535	DNMT3A	-2.4019	1082.88	0.117084
chr2	25241535	25241635	DNMT3A	-0.287678	4684.6	0.0760799
chr2	25241635	25241735	DNMT3A	0.244231	6777.66	0.0796719
chr2	25241735	25241836	DNMT3A	-2.37845	1097.84	0.126265
chr2	25243744	25243848	DNMT3A	-2.3598	1122.39	0.077117
chr2	25243848	25243953	DNMT3A	0.298272	7056.96	0.0369862
chr2	25243953	25244057	DNMT3A	0.239252	6780.27	0.0378859
chr2	25244057	25244162	DNMT3A	-0.222306	4821.82	0.0744287
chr2	25244162	25244267	DNMT3A	0.520912	8269.03	0.08884
chr2	25244267	25244371	DNMT3A	0.0554425	5979.01	0.059586
chr2	25244371	25244476	DNMT3A	-0.954179	2944	0.0359547
chr2	25244476	25244580	DNMT3A	-0.214549	4923.88	0.056231
chr2	25244580	25244685	DNMT3A	0.31249	7111.98	0.0597261
chr2	25244685	25244790	DNMT3A	-2.36002	1113.54	0.0976778
chr2	25245071	25245179	DNMT3A	-2.07127	1369.95	0.107693
chr2	25245179	25245288	DNMT3A	0.094445	6137.25	0.0600711
chr2	25245288	25245396	DNMT3A	0.0973163	6127.35	0.046861
chr2	25245396	25245505	DNMT3A	-2.17607	1265.19	0.0652637
chr2	25245957	25246048	DNMT3A	0.349571	7272.49	0.0507371
chr2	25246048	25246139	DNMT3A	0.189818	6546.66	0.0604259
chr2	25246139	25246231	DNMT3A	0.314039	7154.78	0.0639994
chr2	25246231	25246322	DNMT3A	0.609119	8723.11	0.0495966
chr2	25246322	25246414	DNMT3A	-1.00492	2849.58	0.0427517
chr2	25246493	25246597	DNMT3A	-2.17507	1269.32	0.113093
chr2	25246597	25246702	DNMT3A	0.0978074	6136.61	0.0394277
chr2	25246702	25246806	DNMT3A	0.0289651	5804.7	0.0414737
chr2	25246806	25246911	DNMT3A	-2.51314	1000.86	0.0750446
chr2	25247016	25247108	DNMT3A	-0.0197226	5612.12	0.0403308
chr2	25247108	25247200	DNMT3A	-0.764376	3369.77	0.0473525
chr2	25247200	25247293	DNMT3A	-2.55675	964.274	0.13295
chr2	25247544	25247651	DNMT3A	0.0773645	6083.45	0.0530812
chr2	25247651	25247759	DNMT3A	0.00401584	5737.14	0.0639812
chr2	25247759	25247867	DNMT3A	-0.0819097	5419.9	0.0365111
chr2	25247972	25248067	DNMT3A	0.0536711	5971.5	0.0529547
chr2	25248067	25248163	DNMT3A	0.0208588	5776.44	0.0596638
chr2	25248163	25248258	DNMT3A	0.46934	7945.6	0.0407904
chr2	25248258	25248354	DNMT3A	-0.0953219	5353.77	0.0485169
chr2	25248354	25248450	DNMT3A	-2.70518	884.766	0.114677
chr2	25249532	25249638	DNMT3A	-2.19649	1256.34	0.0763188
chr2	25249638	25249744	DNMT3A	-0.36329	4419.9	0.0492611
chr2	25252118	25252228	DNMT3A	-0.879997	3132.34	0.0990835
chr2	25252228	25252338	DNMT3A	-3.86141	395.915	0.0847808
chr2	25274864	25274953	DNMT3A	-0.0327545	5587.66	0.0465316
chr2	25274953	25275042	DNMT3A	0.366601	7393.15	0.0426205
chr2	25275042	25275131	DNMT3A	0.287397	6963.79	0.043826
chr2	25275131	25275220	DNMT3A	-3.14439	643.133	0.113558
chr2	25275477	25275585	DNMT3A	-0.355108	4476.35	0.0424463
chr2	25275585	25275694	DNMT3A	-2.29137	1164.99	0.0814826
chr2	25282339	25282446	DNMT3A	0.0207512	5818.14	0.0383831
chr2	25282446	25282553	DNMT3A	-0.172739	5079.25	0.0588086
chr2	25282553	25282660	DNMT3A	-0.0482113	5526.15	0.0753673
chr2	25282660	25282767	DNMT3A	0.239895	6737.23	0.0438266
chr2	25299988	25300080	DNMT3A	0.268402	6855.29	0.0461182
chr2	25300080	25300172	DNMT3A	0.349739	7328.5	0.0586605
chr2	25300172	25300264	DNMT3A	0.330164	7228.86	0.0493587
chr2	25300264	25300357	DNMT3A	-0.951588	2955.36	0.0457322
chr2	25313820	25313909	DNMT3A	-0.411156	4280.91	0.0462365
chr2	25313909	25313998	DNMT3A	0.31896	7144.79	0.0440171
chr2	25313998	25314087	DNMT3A	-0.452381	4158.07	0.0407863
chr2	197401622	197401729	SF3B1	-1.09769	2651.2	0.101875
chr2	197401729	197401837	SF3B1	0.907474	10680.5	0.0707339
chr2	197401837	197401944	SF3B1	0.978027	11258	0.0598734
chr2	197401944	197402052	SF3B1	0.877429	10565.4	0.0419233
chr2	197402052	197402159	SF3B1	0.707792	9351.12	0.0429804
chr2	197402159	197402267	SF3B1	-1.98104	1432.17	0.131325
chr2	197402351	197402447	SF3B1	-2.42499	1054.2	0.152743
chr2	197402447	197402543	SF3B1	-0.736549	3435.19	0.0859037
chr2	197402543	197402640	SF3B1	0.41457	7642.47	0.0649878
chr2	197402640	197402736	SF3B1	0.665766	9040.99	0.055439
chr2	197402736	197402832	SF3B1	0.941948	10962.4	0.0349902
chr2	197402832	197402929	SF3B1	1.04293	11838	0.04772
chr2	197402929	197403025	SF3B1	0.849222	10312.4	0.0607544
chr2	197403025	197403122	SF3B1	-0.338535	4465.56	0.0889258
chr2	197403475	197403570	SF3B1	0.132759	6270.24	0.0631945
chr2	197403570	197403666	SF3B1	0.607739	8760.7	0.0372752
chr2	197403666	197403761	SF3B1	1.3342	14426	0.0318514
chr2	197403761	197403857	SF3B1	0.619169	8789.67	0.0458844
chr2	197403857	197403953	SF3B1	-1.83635	1608.73	0.121517
chr2	208248260	208248366	IDH1	0.159243	6405.08	0.0458278
chr2	208248366	208248472	IDH1	0.0985588	6142.88	0.0578609
chr2	208248472	208248578	IDH1	0.207037	6579.57	0.0553087
chr2	208248578	208248685	IDH1	-0.0446697	5501.99	0.0740934
chr3	128480946	128481052	GATA2	-0.245608	4797.78	0.0661713
chr3	128481052	128481159	GATA2	-0.520871	3981.86	0.0626798
chr3	128481159	128481265	GATA2	0.202476	6588.79	0.0486255
chr3	128481265	128481372	GATA2	-0.296384	4654.91	0.0725045
chr3	128481372	128481479	GATA2	-2.48465	1029.92	0.0667248
chr3	128481674	128481770	GATA2	-3.24046	595.35	0.1377
chr3	128481770	128481867	GATA2	-0.168637	5055.86	0.0646934
chr3	128481867	128481964	GATA2	0.000261033	5703.14	0.0495622
chr3	128481964	128482061	GATA2	-3.13096	651.468	0.0807899
chr3	128483816	128483920	GATA2	-0.0274264	5608.52	0.0358671
chr3	128483920	128484025	GATA2	-0.538353	3922.09	0.0635993
chr3	128484025	128484130	GATA2	-2.38804	1087.53	0.103224
chr3	128485688	128485794	GATA2	-0.084815	5386.72	0.0468136
chr3	128485794	128485901	GATA2	0.290284	6948.79	0.112174
chr3	128485901	128486008	GATA2	0.503584	8079.67	0.113802
chr3	128486008	128486114	GATA2	-0.194695	4971.72	0.112632
chr3	128486114	128486221	GATA2	-0.744143	3380.87	0.111111
chr3	128486221	128486328	GATA2	-0.671702	3557.73	0.115866
chr3	128486328	128486435	GATA2	-0.707558	3463.82	0.128721
chr3	128486654	128486756	GATA2	-2.70836	873.917	0.106852
chr3	128486756	128486858	GATA2	-0.741019	3436.61	0.0652812
chr3	128486858	128486960	GATA2	0.870024	10479.9	0.0508852
chr3	128486960	128487062	GATA2	-0.39709	4330.52	0.0566475
chr3	128487062	128487164	GATA2	-2.58032	959.498	0.0960053
chr4	54695316	54695414	KIT	-0.0810734	5382.96	0.0350263
chr4	54695414	54695512	KIT	0.251209	6781.24	0.0587016
chr4	54695512	54695610	KIT	-0.265692	4731.33	0.0892934
chr4	54695610	54695708	KIT	-0.307853	4606.71	0.098173
chr4	54695708	54695806	KIT	-0.744681	3404.59	0.0902389
chr4	54695806	54695904	KIT	-2.5687	959.729	0.135138
chr4	54723475	54723590	KIT	-0.0420277	5515.06	0.053975
chr4	54723590	54723705	KIT	1.05497	11823.4	0.0416029
chr4	54723705	54723821	KIT	-0.712257	3468.88	0.0601792
chr4	54725731	54725839	KIT	0.0347194	5828.77	0.0744521
chr4	54725839	54725948	KIT	0.487876	7981.69	0.0491207
chr4	54725948	54726057	KIT	0.61673	8752.66	0.0459824
chr4	54726057	54726166	KIT	-1.64843	1801.88	0.10273
chr4	54727195	54727285	KIT	0.353381	7270.7	0.0633647
chr4	54727285	54727376	KIT	-0.234683	4809.29	0.0840058
chr4	54727376	54727467	KIT	0.219077	6651.85	0.0517963
chr4	54727467	54727558	KIT	0.553324	8348.85	0.0439318
chr4	54727558	54727649	KIT	-0.652544	3604.49	0.071929
chr4	54727696	54727805	KIT	-0.14793	5141.54	0.052827
chr4	54727805	54727914	KIT	-0.244238	4822.99	0.0477425
chr4	54727914	54728023	KIT	0.242516	6798.89	0.0438824
chr4	54728023	54728132	KIT	0.821985	10151	0.0379782
chr4	54728132	54728242	KIT	-1.31744	2290.23	0.0617965
chr4	54732884	54732987	KIT	-1.93339	1507.29	0.112009
chr4	54732987	54733090	KIT	0.725307	9431.31	0.0504637
chr4	54733090	54733193	KIT	0.856789	10299.9	0.059718
chr4	54733193	54733297	KIT	0.179677	6456.57	0.0686722
chr4	105233910	105234009	TET2	-0.106806	5316.71	0.0597306
chr4	105234009	105234109	TET2	0.0166516	5814.71	0.044877
chr4	105234109	105234209	TET2	0.485041	8013.01	0.020124
chr4	105234209	105234309	TET2	-0.0978031	5373.44	0.0562188
chr4	105234309	105234409	TET2	0.657482	8988.27	0.0281676
chr4	105234409	105234509	TET2	0.0564518	5958.07	0.0556045
chr4	105234509	105234609	TET2	0.0228224	5822.35	0.0452217
chr4	105234609	105234709	TET2	0.629105	8821.17	0.0354416
chr4	105234709	105234809	TET2	-0.192084	4999.74	0.0559236
chr4	105234809	105234909	TET2	0.395181	7480.06	0.0451749
chr4	105234909	105235009	TET2	-0.188908	5036.91	0.0488543
chr4	105235009	105235109	TET2	0.350121	7280.52	0.0407939
chr4	105235109	105235209	TET2	0.140844	6314.3	0.04661
chr4	105235209	105235309	TET2	0.398212	7536.54	0.0332522
chr4	105235309	105235409	TET2	0.0981628	6097.86	0.0293498
chr4	105235409	105235509	TET2	-0.082256	5375.61	0.0529526
chr4	105235509	105235609	TET2	0.331851	7191.54	0.0425764
chr4	105235609	105235709	TET2	0.403791	7553.15	0.0420132
chr4	105235709	105235809	TET2	0.105636	6112.84	0.0630802
chr4	105235809	105235909	TET2	0.191541	6546.18	0.0409186
chr4	105235909	105236009	TET2	0.535739	8314.21	0.029361
chr4	105236009	105236109	TET2	0.392046	7518.14	0.0383369
chr4	105236109	105236209	TET2	0.0721957	6056.76	0.0646408
chr4	105236209	105236309	TET2	0.416364	7653.57	0.0549286
chr4	105236309	105236409	TET2	0.385261	7509.07	0.0505697
chr4	105236409	105236509	TET2	0.407853	7597.67	0.0343136
chr4	105236509	105236609	TET2	0.151363	6352.71	0.0629146
chr4	105236609	105236709	TET2	-0.300266	4631.84	0.0594431
chr4	105236709	105236809	TET2	-0.112119	5255.5	0.0713108
chr4	105236809	105236909	TET2	-0.177674	5030.74	0.0675613
chr4	105236909	105237009	TET2	-0.157283	5119.97	0.0417532
chr4	105237009	105237109	TET2	0.564129	8396.54	0.0318201
chr4	105237109	105237209	TET2	0.138019	6302.79	0.0415807
chr4	105237209	105237309	TET2	-0.0683743	5474.75	0.0527705
chr4	105237309	105237409	TET2	0.946261	10991.7	0.0343916
chr4	105237409	105237509	TET2	0.188261	6492.26	0.0537449
chr4	105237509	105237609	TET2	-1.97117	1454.35	0.115337
chr4	105241180	105241296	TET2	-1.80552	1626.65	0.122096
chr4	105241296	105241412	TET2	0.0760904	6019.67	0.0613029
chr4	105241412	105241529	TET2	0.245506	6758.91	0.0327588
chr4	105242635	105242741	TET2	-1.96709	1464.22	0.105699
chr4	105242741	105242847	TET2	0.295563	7015.97	0.0349871
chr4	105242847	105242953	TET2	0.899818	10684.5	0.0301172
chr4	105242953	105243060	TET2	-1.38958	2191.76	0.0678789
chr4	105243354	105243452	TET2	0.0262136	5786.44	0.0365594
chr4	105243452	105243550	TET2	0.540893	8296.89	0.0499649
chr4	105243550	105243648	TET2	0.46942	7889.11	0.0554108
chr4	105243648	105243746	TET2	0.653505	8993.91	0.0429884
chr4	105243746	105243844	TET2	-0.0353082	5580.06	0.056197
chr4	105243844	105243942	TET2	-2.48359	1025.1	0.107571
chr4	105259472	105259583	TET2	-1.87704	1540.2	0.109308
chr4	105259583	105259694	TET2	0.0312142	5827.7	0.0608663
chr4	105259694	105259805	TET2	-0.121652	5220.5	0.06458
chr4	105261638	105261726	TET2	-2.44356	1045.32	0.12619
chr4	105261726	105261815	TET2	0.301502	6988.93	0.0751251
chr4	105261815	105261904	TET2	0.325251	7109.11	0.0766841
chr4	105261904	105261993	TET2	-2.55693	962.248	0.135287
chr4	105269561	105269672	TET2	-0.310592	4571.36	0.063231
chr4	105269672	105269784	TET2	-0.166229	5084.25	0.0556101
chr4	105272289	105272390	TET2	-0.782199	3310.09	0.0444483
chr4	105272390	105272492	TET2	0.904506	10741.2	0.0424293
chr4	105272492	105272594	TET2	0.943106	10989.7	0.0703746
chr4	105272594	105272696	TET2	0.587347	8590.71	0.0564546
chr4	105272696	105272798	TET2	0.680245	9109.31	0.0465627
chr4	105272798	105272900	TET2	0.556191	8405.55	0.0502282
chr4	105272900	105273002	TET2	0.394636	7520.64	0.0445164
chr4	105273002	105273104	TET2	-2.28937	1177.51	0.0924429
chr4	105274930	105275029	TET2	-0.150971	5124.19	0.0438988
chr4	105275029	105275128	TET2	-0.122781	5225.04	0.0557017
chr4	105275128	105275227	TET2	-0.227577	4874.93	0.0587444
chr4	105275227	105275326	TET2	0.526892	8224.44	0.0379953
chr4	105275326	105275425	TET2	0.0009899	5720.32	0.042944
chr4	105275425	105275524	TET2	0.0109134	5782.33	0.0387303
chr4	105275524	105275623	TET2	0.304128	7005.22	0.0437542
chr4	105275623	105275722	TET2	0.104081	6119.4	0.0449747
chr4	105275722	105275822	TET2	0.0286136	5828.43	0.043277
chr4	105275822	105275921	TET2	0.230937	6685.19	0.0355859
chr4	105275921	105276020	TET2	0.228528	6709.28	0.0339195
chr4	105276020	105276119	TET2	-0.226673	4888.24	0.0609536
chr4	105276119	105276218	TET2	0.466922	7886.23	0.0405295
chr4	105276218	105276317	TET2	0.187927	6505	0.0490145
chr4	105276317	105276416	TET2	0.208132	6591.73	0.0490003
chr4	105276416	105276515	TET2	0.569784	8466.73	0.0330783
chr4	105276515	105276615	TET2	-0.897639	3056.7	0.0574999
chr5	171410384	171410490	NPM1	0.225488	6672.37	0.0486713
chr5	171410490	171410596	NPM1	1.36001	14663.4	0.03868
chr5	171410596	171410703	NPM1	-0.43107	4237.93	0.0632843
chr5	177511650	177511753	DDX41	-2.31927	1152.47	0.084353
chr5	177511753	177511856	DDX41	-0.250174	4833.16	0.0656045
chr5	177511856	177511959	DDX41	0.251766	6815.6	0.0567416
chr5	177511959	177512062	DDX41	-0.574149	3845.27	0.0405233
chr5	177512062	177512165	DDX41	-0.145187	5180.24	0.0541273
chr5	177512165	177512268	DDX41	-0.727419	3478.51	0.0633095
chr5	177512268	177512371	DDX41	0.2815	6952.45	0.0546092
chr5	177512371	177512475	DDX41	0.576658	8539.34	0.0561226
chr5	177512475	177512578	DDX41	0.742796	9589.68	0.0564979
chr5	177512578	177512681	DDX41	0.328239	7188.05	0.0509068
chr5	177512681	177512784	DDX41	-0.381966	4401.62	0.0472282
chr5	177512784	177512887	DDX41	0.461251	7884.19	0.0503583
chr5	177512887	177512990	DDX41	-0.848702	3187.26	0.0574568
chr5	177512990	177513093	DDX41	0.300502	7065.19	0.0421893
chr5	177513093	177513196	DDX41	0.118831	6225.65	0.049248
chr5	177513196	177513300	DDX41	-1.57015	1928.12	0.0445315
chr5	177513307	177513400	DDX41	-0.490853	4059.79	0.0589779
chr5	177513400	177513494	DDX41	-0.318513	4579.51	0.0836837
chr5	177513494	177513588	DDX41	-1.19941	2488.34	0.0819034
chr5	177513588	177513681	DDX41	-1.26944	2378.98	0.0423508
chr5	177513681	177513775	DDX41	0.438013	7770.31	0.0544099
chr5	177513775	177513869	DDX41	-0.0791307	5430.27	0.0571688
chr5	177513869	177513963	DDX41	-2.38236	1101.91	0.0684817
chr5	177514571	177514672	DDX41	-2.74765	852.646	0.07929
chr5	177514672	177514773	DDX41	0.0943983	6110.42	0.0455946
chr5	177514773	177514875	DDX41	0.205989	6612.12	0.0342893
chr5	177514875	177514976	DDX41	0.261072	6880.86	0.0422612
chr5	177514976	177515078	DDX41	0.48968	8041	0.0488586
chr5	177515078	177515179	DDX41	-0.936544	2997.57	0.0488602
chr5	177515179	177515281	DDX41	-0.177092	5050.2	0.0372424
chr5	177515557	177515660	DDX41	0.102224	6132.21	0.0370329
chr5	177515660	177515763	DDX41	0.404595	7546.82	0.0341057
chr5	177515763	177515866	DDX41	0.499094	8054.86	0.0417615
chr5	177515866	177515969	DDX41	-0.143252	5177.09	0.0616167
chr5	177515969	177516072	DDX41	-0.565704	3863.17	0.0540907
chr5	177516072	177516175	DDX41	-0.0281436	5595.78	0.0762024
chr5	177516175	177516279	DDX41	-0.644924	3659.74	0.0771162
chr5	177516279	177516382	DDX41	0.515488	8187.8	0.0768968
chr5	177516382	177516485	DDX41	0.298245	7063.32	0.0771051
chr5	177516485	177516588	DDX41	-0.353215	4496.71	0.0548285
chr5	177516588	177516691	DDX41	-1.34757	2243.64	0.0709518
chr5	177516691	177516794	DDX41	0.322608	7202.31	0.0515862
chr5	177516794	177516897	DDX41	-0.247946	4841.06	0.0697562
chr5	177516897	177517001	DDX41	-0.180631	5011.57	0.0873619
chr7	50318949	50319055	IKZF1	-0.213421	4888.46	0.0622671
chr7	50319055	50319161	IKZF1	-0.389478	4338.74	0.0527218
chr7	50319161	50319268	IKZF1	-2.26983	1179.55	0.12091
chr7	50327429	50327535	IKZF1	-2.51975	993.3	0.105675
chr7	50327535	50327641	IKZF1	-0.0853269	5360.2	0.045061
chr7	50327641	50327747	IKZF1	0.643214	8899.6	0.0316491
chr7	50327747	50327853	IKZF1	-0.365242	4412.08	0.0504132
chr7	50376381	50376473	IKZF1	-2.11105	1331.09	0.09455
chr7	50376473	50376565	IKZF1	-0.147588	5176.85	0.0790582
chr7	50376565	50376657	IKZF1	0.164041	6421.85	0.0505448
chr7	50376657	50376749	IKZF1	0.542165	8293.1	0.0399304
chr7	50376749	50376841	IKZF1	-0.293467	4671.94	0.0593529
chr7	50376841	50376933	IKZF1	-2.28958	1175	0.0957413
chr7	50382516	50382623	IKZF1	-0.149505	5172.96	0.0473052
chr7	50382623	50382731	IKZF1	-0.612879	3769.58	0.085132
chr7	50382731	50382839	IKZF1	-2.28192	1182.47	0.0917316
chr7	50387186	50387287	IKZF1	-2.13934	1299.27	0.0912137
chr7	50387287	50387388	IKZF1	0.55837	8385.22	0.0374403
chr7	50387388	50387489	IKZF1	0.584752	8550.4	0.0432526
chr7	50387489	50387590	IKZF1	-1.8971	1534.68	0.103208
chr7	50391618	50391713	IKZF1	-0.375994	4398.36	0.0594089
chr7	50391713	50391808	IKZF1	0.713988	9382.51	0.0420694
chr7	50391808	50391904	IKZF1	0.465309	7895.78	0.0374928
chr7	50399854	50399950	IKZF1	-0.375076	4372.53	0.0587974
